timestamp,quat_0,quat_1,quat_2,quat_3,Control error [deg]
1735211100.0,0.2358996805000923,-0.2096982803813857,-0.8832139355532205,-0.3468589280811949,0.0172727401254632
1735211130.0,0.2321041285266531,-0.2187954534572068,-0.8589346566654651,-0.4006088848818979,0.031403992164688
1735211160.0,0.2223122665264096,-0.2313486638156009,-0.8233791722857142,-0.4680831021824211,0.0534527506088927
1735211190.0,0.2038998427004134,-0.2478743140781757,-0.769115294872896,-0.5526706449229946,0.0597332890018189
1735211220.0,0.1742432247675662,-0.2675998392325781,-0.6870242137063299,-0.6527077098108287,0.0727315447251933
1735211250.0,0.1336469760373254,-0.2858254964880149,-0.5735443958477855,-0.7559689790891271,0.0204435454320171
1735211280.0,0.0897457104765487,-0.2963619182263339,-0.4445167671692976,-0.8405475385613974,0.023471524133697
1735211310.0,0.0509666982566834,-0.2976606463065473,-0.3245361993919464,-0.8963686689043809,0.0677323059001777
1735211340.0,0.021222022707,-0.2917875743745383,-0.2277980786810283,-0.9287182955784166,0.0411496437050492
1735211370.0,-0.0005597729444567,-0.2815534070318689,-0.1531110346405336,-0.9472509576212118,0.048319061894338
1735211400.0,-0.016632253824608,-0.2693365062792343,-0.0959567059082352,-0.9581093492442552,0.0172992065544319
1735211430.0,-0.028963267020123,-0.2555760224878415,-0.0509660257554669,-0.9650100984505336,0.0117913165939461
1735211460.0,-0.0389501374229604,-0.2412311532690987,-0.0148973469968018,-0.9695712900760056,0.0241016473134926
1735211490.0,-0.0470171292573191,-0.2266083321229208,0.0152317651641967,-0.9727312304531254,0.0173866989206696
1735211520.0,-0.0537122820272049,-0.2123585823269825,0.0407132113679001,-0.9748647381517176,0.0119070004363363
1735211550.0,-0.0597937519603736,-0.1983020325894659,0.0627589075304048,-0.9763003280870992,0.0121662775803239
1735211580.0,-0.0689195607321457,-0.2580486484221538,0.0412802424409436,-0.9627860254386772,115.30820594472924
1735211610.0,-0.071457267397914,-0.5556549818260588,-0.2006069650775752,-0.8036779489759999,66.09239204904894
1735211640.0,-0.0699744438684589,-0.7675090963924934,-0.3934602924936677,-0.5012208718627703,16.669207623502178
1735211670.0,-0.0640488078758023,-0.810676830815504,-0.4401655996526193,-0.3807296561486504,0.3107918893177506
1735211700.0,-0.0543155479568631,-0.8101639740835119,-0.4311171399153753,-0.3934744820424102,0.0277635091899366
1735211730.0,-0.0444142653809245,-0.8102457095200173,-0.4229625803187595,-0.4032764794594068,0.0123826487407465
1735211760.0,-0.0343026339770728,-0.8100182690571665,-0.4146763474261764,-0.4132036543656792,0.0204427339629126
1735211790.0,-0.0243045529601308,-0.8096411386860173,-0.4060559572169034,-0.4230946405489935,0.0266169969497615
1735211820.0,-0.0144214710178366,-0.8089528299766856,-0.3977899964018259,-0.4326088982083342,0.0225641678578848
1735211850.0,-0.0044058272634795,-0.8081178269554345,-0.3888987576899137,-0.4423617554786946,0.0277786343777905
1735211880.0,0.0071355651638065,-0.8019344519245649,-0.3688055798173598,-0.4699283592440682,104.4325698171866
1735211910.0,0.0593157771674585,-0.6196043415618515,-0.130537202874897,-0.7717072872289872,56.62592898037071
1735211940.0,0.0937242207032881,-0.3157874680879853,0.1428029032267959,-0.9333281182318144,7.279789689579969
1735211970.0,0.0968700168299276,-0.2505306055130091,0.184920000220319,-0.9453333851394288,0.2235927040920174
1735212000.0,0.0938629107462194,-0.238045211329036,0.1850550039266009,-0.948830267682944,0.0243414982212062
1735212030.0,0.0914803408455919,-0.2247653888049994,0.1864383918597707,-0.95202552133588,0.0113429800067905
