timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735208668.0281885,0,-1538584.7806324826,-4547045.004621564,4864017.823540163,0.041871507694296865,0.7953376056039376,0.34857047705968486,0.49414925824086314
1735208668.1115217,1,-1538837.7505014369,-4547430.442004024,4863578.825181318,0.04185925034841516,0.7953311371982512,0.3485302452451976,0.49418907915846366
1735208668.1948552,2,-1539090.7210941445,-4547815.880489229,4863139.825566488,0.04184699296746487,0.7953246687740586,0.3484900133156061,0.4942289001899929
1735208668.2781885,3,-1539343.6774447698,-4548201.277928703,4862700.784379171,0.04182770870434414,0.795318481717895,0.3484526915127613,0.49426680470973583
1735208668.3615217,4,-1539596.6073496372,-4548586.597228159,4862261.659406986,0.04179467776060763,0.7953128450626965,0.34842106253356536,0.4943009602015075
1735208668.4448552,5,-1539849.5379781437,-4548971.917630022,4861822.533178452,0.04176164672236874,0.7953072083913715,0.34838943346387813,0.49433511579099887
1735208668.5281885,6,-1540102.4543580075,-4549357.196976312,4861383.365389373,0.04173094336019595,0.7953022496405597,0.34835669000111996,0.49436876309965955
1735208668.6115217,7,-1540355.344279056,-4549742.398162668,4860944.1138380775,0.04170479342013917,0.7952986170666154,0.34832176628647327,0.49440141625531053
1735208668.6948552,8,-1540608.2349236289,-4550127.600451093,4860504.861030072,0.04167864340526674,0.7952949844822783,0.34828684247190894,0.49443406950438307
1735208668.7781885,9,-1540861.1113130068,-4550512.761674116,4860065.566673456,0.041650807571380566,0.7952899053641317,0.3482542257202663,0.4944675602820013
1735208668.8615217,10,-1541113.9612305274,-4550897.844717318,4859626.188577265,0.04161967364200866,0.795281996387532,0.348226122054879,0.49450268969022637
1735208668.9448552,11,-1541366.8118714578,-4551282.928862251,4859186.809224001,0.04158853962356177,0.7952740873883047,0.3481980183090864,0.4945378191989576
1735208669.0281885,12,-1541619.6482506315,-4551667.971931942,4858747.388334085,0.04155648940650692,0.7952676816793491,0.34817087475608965,0.49456992670554656
1735208669.1115217,13,-1541872.458144887,-4552052.936801895,4858307.8837272795,0.041522646665973974,0.795264216796289,0.3481456094603625,0.49459612249932733
1735208669.1948552,14,-1542125.2687624379,-4552437.9027732415,4857868.37786304,0.04148880382861607,0.7952607519033157,0.3481203440923507,0.4946223183680549
1735208669.2781885,15,-1542378.065111688,-4552822.827659534,4857428.830474077,0.04146016288851865,0.7952560035933375,0.34809076311870185,0.49465317261595987
1735208669.3615217,16,-1542630.834962995,-4553207.674326233,4856989.199390853,0.041441698173184056,0.7952487445294486,0.3480527394319809,0.4946931401462375
1735208669.4448552,17,-1542883.6055374825,-4553592.522093988,4856549.567049833,0.04142323340502144,0.7952414854447915,0.3480147156364732,0.4947331077908633
1735208669.5281885,18,-1543136.361837108,-4553977.32876685,4856109.893196057,0.04140454094321774,0.795234016989975,0.347980581939577,0.4947706891175424
1735208669.6115217,19,-1543389.0916257286,-4554362.057200208,4855670.135670723,0.04138540294351091,0.7952261389059986,0.3479540581868286,0.4948036023404659
1735208669.6948552,20,-1543641.8221374159,-4554746.786734285,4855230.376887232,0.04136626488904977,0.7952182607994827,0.34792753435819507,0.49483651565755493
1735208669.7781885,21,-1543894.5383676852,-4555131.475163641,4854790.576602947,0.04134506705329885,0.7952105128891681,0.3479012593530136,0.4948692122181234
1735208669.8615217,22,-1544147.2280739008,-4555516.085333612,4854350.692669797,0.041319839583036,0.7952030196361513,0.34787547096995086,0.4949014849245189
1735208669.9448552,23,-1544399.9185030684,-4555900.696603961,4853910.807478127,0.04129461204059671,0.7951955263616961,0.34784968251310694,0.49493375772324744
1735208670.0281885,24,-1544652.5946442795,-4556285.2667597905,4853470.8807976,0.04127498231841779,0.7951889869523902,0.34782553449728665,0.4949628748297309
1735208670.1115217,25,-1544905.2442484216,-4556669.758636397,4853030.870490853,0.041266303409014916,0.795184313537005,0.3478045955137926,0.4949858186709449
1735208670.1948552,26,-1545157.8945754007,-4557054.251613044,4852590.858925224,0.041257624474781464,0.7951796401082492,0.3477836564703916,0.49500876257780185
1735208670.2781885,27,-1545410.5306078587,-4557438.703465334,4852150.805882727,0.041241323277433524,0.7951731516581854,0.3477611067897524,0.49503638448149057
1735208670.3615217,28,-1545663.1400901813,-4557823.077018495,4851710.669236754,0.04121011068233064,0.7951631124758177,0.3477354061200707,0.4950731580271515
1735208670.4448552,29,-1545915.750295226,-4558207.451671358,4851270.531331539,0.04117889799792771,0.7951530732647278,0.34770970537685875,0.49510993167802253
1735208670.5281885,30,-1546168.3461992121,-4558591.785190068,4850830.351961399,0.04114931926355857,0.7951451211201679,0.3476838378989532,0.49514332959505375
1735208670.6115217,31,-1546420.915540049,-4558976.040389824,4850390.089010443,0.041122936832904605,0.7951412518246295,0.34765764409596095,0.4951701238070643
1735208670.6948552,32,-1546673.4856034932,-4559360.296688944,4849949.824799882,0.04109655432676983,0.7951373825180209,0.3476314502180276,0.4951969180957338
1735208670.7781885,33,-1546926.041359324,-4559744.511844091,4849509.519136379,0.04107488205717569,0.7951323400473246,0.3476051778527954,0.49522525632525904
