timestamp,eci x [m],eci y [m],eci z [m]
1735211100.0,855517.6976747359,-422611.14287195547,6890735.627897489
1735211130.0,794438.2751875413,-641045.7196826454,6881216.237035028
1735211160.0,732516.8301944329,-858800.8613821882,6864383.603496605
1735211190.0,669818.9827121212,-1075645.7630363016,6840255.529813113
1735211220.0,606411.171941196,-1291350.570352364,6808857.518096252
1735211250.0,542360.5874869376,-1505686.6183640012,6770222.744992889
1735211280.0,477735.0997977141,-1718426.6691342858,6724392.02911842
1735211310.0,412603.1898731853,-1929345.1482879815,6671413.790971914
1735211340.0,347033.87829597906,-2138218.380178801,6611344.005337765
1735211370.0,281096.653639252,-2344824.821502238,6544246.146178344
1735211400.0,214861.4003065036,-2548945.2931520147,6470191.1240262985
1735211430.0,148398.3258591641,-2750363.210121835,6389257.215886006
1735211460.0,81777.88789016262,-2948864.809246185,6301529.98765757
1735211490.0,15070.720503038758,-3144239.3745708093,6207102.209100471
1735211520.0,-51652.439542297856,-3336279.460139924,6106073.761357745
1735211550.0,-118320.82695291036,-3524781.1099791583,5998551.537068679
1735211580.0,-184863.7222317514,-3709544.075056743,5884649.33309962
1735211610.0,-251210.52614199143,-3890372.0269881953,5764487.735936183
1735211640.0,-317290.8342404136,-4067072.768262482,5638193.999777836
1735211670.0,-383034.5114047754,-4239458.43874537,5505901.917394896
1735211700.0,-448371.7662838528,-4407345.718228805,5367751.683806387
1735211730.0,-513233.2255917637,-4570556.024778592,5223889.752855694
1735211760.0,-577550.0081699694,-4728915.708640562,5074468.686763646
1735211790.0,-641253.7987350791,-4882256.241454961,4919646.998756026
1735211820.0,-704276.9212308127,-5030414.400533303,4759588.988869139
1735211850.0,-766552.411699176,-5173232.447947411,4594464.573052929
1735211880.0,-828014.0905857885,-5310558.304184603,4424449.10569883
1735211910.0,-888596.6343901807,-5442245.716117627,4249723.195739921
1735211940.0,-948235.6465731042,-5568154.419046193,4070472.5164772
1735211970.0,-1006867.7276305058,-5688150.292566479,3886887.6093027615
1735212000.0,-1064430.5442431674,-5802105.510029455,3699163.681503495
1735212030.0,-1120862.8974092433,-5909898.681351404,3507500.3983467026
