timestamp,eci x [m],eci y [m],eci z [m]
1735207980.0,782592.7038405548,-392126.94876056665,6772938.045846596
1735208040.0,578382.8239376912,-802089.8798285057,6757312.949776165
1735208100.0,371582.45324902015,-1208460.411132028,6711337.558939936
1735208160.0,163117.71667735992,-1609418.2314086885,6635216.838080174
1735208220.0,-46077.72906689494,-2003166.9036805115,6529290.425057203
1735208280.0,-255066.80500817468,-2387941.7987321755,6394031.221934421
1735208340.0,-462913.1443037753,-2762017.915934224,6230043.4233883135
1735208400.0,-668685.2372732343,-3123717.5628357166,6038059.983534376
1735208460.0,-871460.5721420511,-3471417.8638185496,5818939.523219831
1735208490.0,-971439.645485912,-3639527.902742004,5699504.704778165
1735208500.0,-1004529.5166436352,-3694667.136649704,5658262.46168484
1735208510.0,-1037494.2567175444,-3749346.132715497,5616313.380088397
1735208520.0,-1070329.7557744484,-3803558.0668605934,5573662.681213045
1735208530.0,-1103031.919757999,-3857296.172826037,5530315.674238638
1735208540.0,-1135596.6710043054,-3910553.7430338734,5486277.755661114
1735208550.0,-1168019.9487556366,-3963324.129441282,5441554.4086419465
1735208560.0,-1200297.7096718464,-4015600.7443870064,5396151.202347068
1735208570.0,-1232425.9283412702,-4067377.061433009,5350073.791272949
1735208580.0,-1264400.5977889358,-4118646.616197713,5303327.9145625625
1735208590.0,-1296217.729983403,-4169403.007183041,5255919.395309553
1735208600.0,-1327873.3563413946,-4219639.896593867,5207854.139851595
1735208610.0,-1359363.5282311095,-4269351.011151236,5159138.137051693
1735208620.0,-1390684.3174724928,-4318530.142896676,5109777.457569895
1735208630.0,-1421831.8168363564,-4367171.149990519,5059778.253122533
1735208640.0,-1452802.1405409065,-4415267.957501974,5009146.755731109
1735208650.0,-1483591.4247458484,-4462814.558191204,4957889.27696059
1735208660.0,-1514195.8280444783,-4509805.013284008,4906012.207146344
1735208665.0,-1529427.505169131,-4533089.849274818,4879843.343923664
1735208665.25,-1530187.8421471035,-4534250.389759308,4878530.891725936
1735208665.5,-1530948.0599397114,-4535410.577072338,4877218.058464127
1735208665.75,-1531708.1584875376,-4536570.41112314,4875904.844240772
1735208666.0,-1532468.13773136,-4537729.89182124,4874591.249158147
1735208666.25,-1533227.9976118675,-4538889.019076047,4873277.2733187
1735208666.5,-1533987.7380699145,-4540047.792797235,4871962.916824639
1735208666.75,-1534747.359046064,-4541206.212894049,4870648.179778741
1735208667.0,-1535506.8604813088,-4542364.279276403,4869333.062283076
1735208667.25,-1536266.2423162656,-4543521.991853648,4868017.564440404
1735208667.5,-1537025.504491672,-4544679.350535329,4866701.686353339
1735208667.75,-1537784.6469485129,-4545836.355231398,4865385.428124084
1735208668.0,-1538543.6696273542,-4546993.005851163,4864068.789855645
1735208668.25,-1539302.572469158,-4548149.302304555,4862751.771650373
1735208668.5,-1540061.3554147023,-4549305.244501247,4861434.373610981
1735208668.75,-1540820.018404852,-4550460.83235104,4860116.595840074
1735208669.0,-1541578.5613803258,-4551616.065763544,4858798.438440582
1735208669.25,-1542336.9842820903,-4552770.944648745,4857479.901515025
1735208669.5,-1543095.28705095,-4553925.468916412,4856160.98516625
1735208669.75,-1543853.4696277785,-4555079.6384764165,4854841.689497047
1735208670.0,-1544611.531953446,-4556233.453238643,4853522.014610252
1735208670.25,-1545369.473968752,-4557386.913112893,4852201.960608859
1735208670.5,-1546127.2956147497,-4558540.018009346,4850881.52759548
1735208670.75,-1546884.9968322976,-4559692.767837921,4849560.715673101
1735208671.0,-1547642.5775621512,-4560845.16250838,4848239.52494495
1735208671.25,-1548400.0377453836,-4561997.201930982,4846917.95551373
1735208671.5,-1549157.3773229658,-4563148.886015851,4845596.007482375
1735208671.75,-1549914.59623564,-4564300.214672774,4844273.680954271
1735208672.0,-1550671.694424547,-4565451.187812154,4842950.976032137
1735208672.25,-1551428.6718305296,-4566601.805343956,4841627.892819282
1735208672.5,-1552185.5283945908,-4567752.067178404,4840304.431418759
1735208672.75,-1552942.2640577073,-4568901.973225694,4838980.591933722
1735208673.0,-1553698.8787608284,-4570051.523395993,4837656.374467438
1735208673.25,-1554455.3724449808,-4571200.717599604,4836331.779123044
1735208673.5,-1555211.7450512073,-4572349.555746864,4835006.806003723
1735208673.75,-1555967.9965205302,-4573498.037748083,4833681.455212746
1735208674.0,-1556724.1267938458,-4574646.163513413,4832355.726853632
1735208674.25,-1557480.135812233,-4575793.932953276,4831029.621029636
1735208674.5,-1558236.02351684,-4576941.345978235,4829703.137843929
1735208674.75,-1558991.7898486464,-4578088.40249859,4828376.277400042
1735208675.0,-1559747.434748674,-4579235.10242473,4827049.039801454
1735208675.25,-1560502.9581580684,-4580381.445667239,4825721.425151494
1735208675.5,-1561258.360017834,-4581527.432136506,4824393.433553782
1735208675.75,-1562013.640269057,-4582673.061743054,4823065.065111825
1735208676.0,-1562768.7988529084,-4583818.3343975535,4821736.3199290335
1735208676.25,-1563523.8357105032,-4584963.250010593,4820407.198108983
1735208676.5,-1564278.7507827992,-4586107.808492544,4819077.699755539
1735208676.75,-1565033.5440111584,-4587252.009754401,4817747.824971938
1735208677.0,-1565788.215336517,-4588395.853706534,4816417.573862177
1735208677.25,-1566542.7647001809,-4589539.340259877,4815086.946529667
1735208677.5,-1567297.1920431096,-4590682.469324854,4813755.94307848
1735208677.75,-1568051.4973066596,-4591825.240812511,4812424.563612015
1735208678.0,-1568805.6804318884,-4592967.654633448,4811092.808234267
1735208678.25,-1569559.741360059,-4594109.710698592,4809760.677048905
1735208678.5,-1570313.6800322449,-4595251.408918597,4808428.170159976
1735208678.75,-1571067.4963897676,-4596392.749204501,4807095.28767113
1735208679.0,-1571821.1903738326,-4597533.731467188,4805762.029686287
1735208679.25,-1572574.761925592,-4598674.355617476,4804428.396309499
1735208679.5,-1573328.2109863092,-4599814.621566351,4803094.387644653
1735208679.75,-1574081.537497147,-4600954.529224671,4801760.003795879
1735208680.0,-1574834.741399589,-4602094.078503796,4800425.244866782
1735208680.25,-1575587.822634628,-4603233.269314348,4799090.110961881
1735208680.5,-1576340.7811436397,-4604372.101567545,4797754.602185051
1735208680.75,-1577093.6168679486,-4605510.575174543,4796418.71864033
1735208681.0,-1577846.329748794,-4606648.690046383,4795082.460431924
1735208681.25,-1578598.91972741,-4607786.446094107,4793745.827664122
1735208681.5,-1579351.3867452112,-4608923.84322905,4792408.820440919
1735208681.75,-1580103.7307435088,-4610060.881362399,4791071.438866553
1735208682.0,-1580855.951663562,-4611197.560405277,4789733.683045384
1735208682.25,-1581608.049446774,-4612333.880269044,4788395.553081579
1735208682.5,-1582360.0240344207,-4613469.840864871,4787057.049079578
1735208682.75,-1583111.8753678906,-4614605.442104117,4785718.1711436575
1735208683.0,-1583863.6033885097,-4615740.6838980615,4784378.919378255
1735208683.25,-1584615.2080377324,-4616875.566158195,4783039.293887626
1735208683.5,-1585366.6892568574,-4618010.088795778,4781699.294776352
