timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735211754.537797,0,-565534.343134539,-4699375.590139786,5102409.067313924,-0.036143693432075255,-0.8100596799233124,-0.41618505030545966,-0.4113961795386504
1735211754.662797,1,-565802.337997099,-4700035.5108095575,5101786.583891601,-0.03610156163455921,-0.8100587322547171,-0.41615052433507393,-0.4114375427674265
1735211754.787797,2,-566070.3328596591,-4700695.431479329,5101164.100469278,-0.03605942983704316,-0.810057784586122,-0.41611599836468816,-0.4114789059962026
1735211754.912797,3,-566338.3277222192,-4701355.352149102,5100541.617046955,-0.03601729803952711,-0.8100568369175267,-0.4160814723943024,-0.4115202692249788
1735211755.037797,4,-566606.3225847792,-4702015.272818874,5099919.133624631,-0.03597516624201106,-0.8100558892489315,-0.4160469464239166,-0.41156163245375493
1735211755.162797,5,-566874.3174473393,-4702675.193488646,5099296.650202308,-0.03593303444449501,-0.8100549415803363,-0.4160124204535309,-0.41160299568253106
1735211755.287797,6,-567142.3123098994,-4703335.114158418,5098674.166779985,-0.035890902646978966,-0.810053993911741,-0.4159778944831451,-0.4116443589113072
1735211755.412797,7,-567410.3071724594,-4703995.034828191,5098051.683357662,-0.03584877084946292,-0.8100530462431459,-0.4159433685127593,-0.4116857221400833
1735211755.537797,8,-567678.3020350195,-4704654.955497962,5097429.1999353375,-0.035806639051946865,-0.8100520985745506,-0.4159088425423736,-0.41172708536885944
1735211755.662797,9,-567946.2968975796,-4705314.876167735,5096806.716513014,-0.03576450725443082,-0.8100511509059555,-0.4158743165719878,-0.4117684485976356
1735211755.787797,10,-568214.2917601396,-4705974.796837507,5096184.233090691,-0.03572237545691477,-0.8100502032373602,-0.41583979060160203,-0.41180981182641174
1735211755.912797,11,-568482.2866226997,-4706634.7175072795,5095561.749668368,-0.03568024365939872,-0.8100492555687651,-0.4158052646312163,-0.41185117505518787
1735211756.037797,12,-568750.2814852598,-4707294.638177051,5094939.266246044,-0.03563811186188267,-0.8100483079001698,-0.41577073866083053,-0.411892538283964
1735211756.162797,13,-569018.2763478198,-4707954.558846824,5094316.782823721,-0.03559598006436662,-0.8100473602315746,-0.41573621269044475,-0.4119339015127401
1735211756.287797,14,-569286.2712103799,-4708614.479516596,5093694.299401398,-0.035553848266850575,-0.8100464125629794,-0.41570168672005897,-0.41197526474151624
1735211756.412797,15,-569554.26607294,-4709274.400186368,5093071.815979075,-0.03551171646933453,-0.8100454648943842,-0.41566716074967325,-0.4120166279702924
1735211756.537797,16,-569822.2609355,-4709934.32085614,5092449.332556752,-0.035469584671818474,-0.810044517225789,-0.41563263477928747,-0.41205799119906855
1735211756.662797,17,-570090.2557980601,-4710594.241525913,5091826.8491344275,-0.03542745287430243,-0.8100435695571938,-0.4155981088089017,-0.4120993544278447
1735211756.787797,18,-570358.2506606202,-4711254.162195684,5091204.365712104,-0.03538532107678638,-0.8100426218885985,-0.41556358283851597,-0.4121407176566208
1735211756.912797,19,-570626.2455231802,-4711914.082865457,5090581.882289781,-0.035343189279270326,-0.8100416742200033,-0.4155290568681302,-0.41218208088539693
